( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  0,  17) (  0,  18) (  0,  19) (  0,  20) (  0,  21) (  0,  22) (  0,  23) (  0,  24) (  0,  25) (  0,  26) (  0,  27) (  0,  28) (  0,  29) (  0,  30) (  0,  31) (  0,  32) (  1,  32) (  1,  33) (  1,  34) (  1,  35) (  1,  36) (  1,  37) (  1,  38) (  0,  38) (  0,  39) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  0,  32) (  1,  34) (  1,  35) (  2,  35) (  1,  35) (  1,  36) (  1,  37) ( -1,  -1) (  0,  40) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  1,  40) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  4,  22) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  3,  33) (  3,  34) (  3,  35) (  2,  35) (  3,  35) (  3,  36) (  3,  37) ( -1,  -1) (  2,  40) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  5,  22) (  5,  23) (  5,  24) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  3,  37) (  4,  37) ( -1,  -1) (  3,  40) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  4,  22) (  5,  24) (  5,  25) (  6,  25) (  6,  26) (  5,  26) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  5,  33) (  5,  34) (  5,  35) (  5,  36) (  5,  37) (  4,  37) (  5,  37) ( -1,  -1) (  4,  40) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  7,  25) (  7,  26) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  5,  36) (  5,  37) (  6,  37) ( -1,  -1) (  5,  40) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  8,  20) ( -1,  -1) (  8,  22) (  8,  23) (  8,  24) (  8,  25) (  8,  26) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  6,  40) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  9,  20) ( -1,  -1) (  9,  22) (  9,  23) (  9,  24) (  9,  25) (  9,  26) (  9,  27) ( -1,  -1) (  9,  29) (  9,  30) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  7,  40) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( 10,  20) ( -1,  -1) ( 10,  22) (  9,  24) ( 10,  24) ( 10,  25) ( 10,  26) ( 10,  27) ( -1,  -1) ( 10,  29) ( 10,  30) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  8,  40) ( -1,  -1) 
( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( 11,  10) ( 11,  11) ( 11,  12) ( 11,  13) ( -1,  -1) ( 11,  15) ( 11,  16) ( 11,  17) ( 11,  18) ( -1,  -1) ( 11,  20) ( -1,  -1) (  9,  22) ( -1,  -1) ( 11,  24) ( 10,  24) ( 10,  25) ( 10,  26) ( 10,  27) ( 10,  28) ( 10,  29) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) ( -1,  -1) (  9,  40) ( -1,  -1) 
